category,text
misc,Somebody talk to me and make me laugh? Me in the pic
qna,I'm looking to get a microphone for sitting in front of my computer and rambling. If anyone can recommend a microphone to me I would appreciate it.
work,It's kinda sad when you wish you had work on a Friday night because you have no life
personal,I never feel as pretty as my sisters
meetup,Any guys at the casino want to hangout? 22f
meetup,Any girls wanna talk to an older guy? M 37 here..
personal,I remember being picked on for being the biggest girl in class. Now those guys are hitting me up because they've discovered they like girls with some meat on them 
qna,I've never asked a girl out. Any suggestions to approaching a girl?
sports,When you don't even skateboard and you look around and say to yourself ooh that'd be fun to try tricks on ha...videogames
personal,Starting to feel like I'm been neglected by a certain someone :(
family,My brother looked me in the eyes and told me he believes in me. I've never been so honored. #Famili_Über_Alles
meetup,I just need anonymous hookups and cuddles
pop_culture,The south park morman episode was on point. My Christian friends laugh but they don't know i think of every religion like the episode of sp. Just a bunch of crazys writing shit.
meetup,Bored hmu down to talk or anything 18 m
meetup,All I want is a boyfriend who will watch Supernatural with me.
personal,Sometimes I feel like hooking up with a stranger without knowing names
meetup,Anybody down to chill and drink tonight with netflix? :) M
misc,If you fuck up someone's pronouns on purpose you deserve a punch in the face.
misc,Your initials: j.h. You: Moorhead My initials: r.e. Me: Fargo I wish you'd see this
qna,short hair on girls. opinions?
personal,Im there for people 24/7 when I need them where the fuck are they!
pop_culture,"I listen to My chemical romance, paramore, fall out boy, all time low, panic at the disco etc, any music suggestions?"
misc,I wanna cuddle.... like right now
meetup,"Sittin at the car wash w/ nice lip in, yall PM me :)"
misc,"Nuff said, tbh..."
meetup,Any ladies in Palm Beach gonna be in downtown west palm wanna hang out for some drinks?
relationships,I just stumbled on a book of poetry that my ex love had published on Amazon. I wonder if any of the poems are about me?
misc,Where's my fairwater mandem posse? Get at me FAM!
misc,What is one regret you wish you could take back
personal,I like this man. I don't think he realises that I exists as an actual woman. Should I turn on the flirt or just let it go?
personal,Wish to find someone who is willing to love me! But it's so damn HARD!!
personal,most people complain about losing weight. but honestly i wish i was in their position because i'm trying to gain weight and its almost impossible
personal,I only post things on here that I don't have the balls to post on Facebook
personal,I don't wear bathing suits. I avoid the beach and pools all summer.
misc,Sometimes I think if what Im doing its exactly what I want
misc,Twinkle twinkle little whore Close your legs their not a door
relationships,Relationships are not as easy as people say sometimes
personal,I hate catching feelings for the wrong person
meetup,At little Cesar's in Interlachen .... Bored
personal,I just want to give up on life.
meetup,16 m in Bexhill wwntingbto meet people around my age group
meetup,Hmu if you need trees 
personal,I've never been talked to so sweet before and it makes me feel special but... Knowing I'm not the first girl he's talked to like that almost kills it.
meetup,Somebody save me from boredom D: 21 m
qna,Will you be my valentine?
animals,"Is it bad that I rather my dog over everyone even family, friends and relationships?"
school,I'm not crying. There's just overpriced education in my eye
misc,Jay Lynn Weber... sister where u at... Lol...
personal,Sometimes you have to sacrifice friendships to be a better and happier person.
personal,The girl in the blue fxr jacket at walmart in selkirk who kept staring at me. You are gorgeous n hope you see this
meetup,Any curvy girls?
personal,I wanna to move out of Cali but it looks like now I'm gonna be doing it alone I am married
family,I find it funny how my sister gets mad about me accidentally leaving crumbs of food at the bottom of the sink but her wine bottle opener has been out in the middle of the counter for 2 days and hasn't moved an inch.
qna,My school is having a ball!! Any ideas on an elegant steampunk attire?
personal,I fucking hate that my friend ditched me to hang out with her boyfriend's mom.. just because she is lonely. He is 21 years old. She needs to grow up.
personal,"A lot of guys assume I want to be treated like a princess in bed. On the contrary, I'm not satisfied until he bends me over and treats me like a bad bitch."
sports,Baseball boys are my weakness especially catchers.
personal,Maybe I am repulsive or horrible company or just terrible. No one ever wants to be with me. No friends no family no boy friend. Hell not even a fwb. I wish I was dead.
meetup,A single guy here really needing some attention from the opposite sex.
meetup,Anyone from nyc want to hang out with a girl with a broken heart on valentine's day? No creepy people please. Maybe get a cup of coffee?
food,Wish someone would buy me pizza.
misc,I went to sweet tomatoes and I was like gotta take a shit but then I Walked into the bathroom farted and then left with people in there
misc,Pick a number 1 - 10.
meetup,Home alone male in Mumbai....seeking for a partner in crime ;)
personal,There was a lot of people I was worried about if I cut off contact with them. Like I wouldn't know what would happen to them. Today I am so happy I finally cut the strings. :)
misc,So my friend is visiting me.. What to do in newnan????
work,I ❤️ my boss's pessimistic attitude! It's cute!
personal,I'm drowning. I won't survive this.
lgbtq,I have a weakness for my female teachers. I'm a gay girl 
misc,Poo-no
meetup,Any Delhi/NCR girl for one date this valentine??
misc,"Past, Present and Future went to a bar. It was tense."
qna,Ever been high on an airplane?
personal,I would like to start my family soon even though I'm young. I want a wife and a kid already
personal,I never realized how horrible of a person I am until I treated someone I really cared for extremely bad. Now I'm not sure who i am or if I ever deserved to be loved 
fashion,I love buying professional clothes. I feel so confident in them!
misc,Kinky guys are my weakness ♡_♡
relationships,I spray my boyfriends cologne before I go to bed at night because it helps me sleep better ...
misc,Guys which looks better?
relationships,So my boyfriend broke up with me today...and I took it pretty hard
relationships,...what if she doesn't want me anymore....
misc,Really need to get out a have a fee pints
personal,It seems the only way for a single guy to meet women around here is at a bar. I'm tired of the bar scene...and I'm trying to stay sober
personal,I would love to find someone I won't catch feelings with and just have fun. I'm a guy
misc,My bathroom light finally went out after five years
meetup,Any m or f around my age wanna chat 17m
meetup,Snap chat or KIK? 20 m
misc,Juliana's pizza has the nicest staff ever!!
